faculty,staff,people,professor,bio,index,id,profile,outcome
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,1,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0,1
1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1
